year,mon,day,event,begin,max,end,class,region,new_class,matched_image,image_name,full_path,flare_label,flare_class_idx
2010,6,9,4240,22:31,22:50,23:12,B1.2,1078.0,B,/content/drive/MyDrive/Data Skripsi/2010/06/09/20100609_225048_512_0171.jpg,20100609_225048_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2010/06/09/20100609_225048_512_0171.jpg,B,1
2015,5,5,6120,14:19,14:25,14:32,M1.3,2335.0,M,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_142637_512_0171.jpg,20150505_142637_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_142637_512_0171.jpg,M,3
2015,5,5,6170,16:31,16:38,16:44,C1.5,2335.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_164200_512_0171.jpg,20150505_164200_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_164200_512_0171.jpg,C,2
2015,5,5,6190,17:12,17:24,17:30,M2.6,2335.0,M,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_172637_512_0171.jpg,20150505_172637_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_172637_512_0171.jpg,M,3
2015,5,5,6220,18:38,18:41,18:43,C1.3,2335.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_184236_512_0171.jpg,20150505_184236_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_184236_512_0171.jpg,C,2
2015,5,5,6240,20:53,20:56,21:02,C1.9,,C,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_205700_512_0171.jpg,20150505_205700_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_205700_512_0171.jpg,C,2
2015,5,5,6260,21:33,21:43,21:53,C2.5,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_214212_512_0171.jpg,20150505_214212_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_214212_512_0171.jpg,C,2
2015,5,5,6270,22:05,22:11,22:15,X2.7,2339.0,X,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_221213_512_0171.jpg,20150505_221213_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/05/20150505_221213_512_0171.jpg,X,5
2015,5,6,6360,01:50,01:55,01:58,C3.9,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_015725_512_0171.jpg,20150506_015725_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_015725_512_0171.jpg,C,2
2015,5,6,6420,05:06,05:10,05:13,C2.3,2339.0,C,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_051200_512_0171.jpg,20150506_051200_512_0171.jpg,/content/drive/MyDrive/Data Skripsi/2015/05/06/20150506_051200_512_0171.jpg,C,2
