model,window,predicted_label,prob_No Flare,prob_B,prob_C,prob_M,prob_X
solarflare_tcn_oversampled_classweight_ws2.h5,0-1,X,0.00045580684673041105,0.07285235077142715,0.09490060061216354,0.0887642428278923,0.7430269718170166
solarflare_tcn_oversampled_classweight_ws2.h5,1-2,B,0.0014219380682334304,0.28361111879348755,0.23474396765232086,0.24773354828357697,0.2324894368648529
solarflare_tcn_oversampled_classweight_ws2.h5,2-3,X,0.00019852787954732776,0.026813261210918427,0.032042037695646286,0.020601477473974228,0.9203447103500366
solarflare_tcn_oversampled_classweight_ws2.h5,3-4,X,0.001893925596959889,0.2707470953464508,0.1645103394985199,0.13277636468410492,0.43007227778434753
solarflare_tcn_oversampled_classweight_ws2.h5,4-5,B,0.0019237555097788572,0.49726906418800354,0.21135812997817993,0.21234971284866333,0.0770992785692215
solarflare_tcn_oversampled_classweight_ws2.h5,5-6,B,0.0008682436309754848,0.48439884185791016,0.19491639733314514,0.17114217579364777,0.1486743539571762
solarflare_tcn_oversampled_classweight_ws2.h5,6-7,M,0.01871440000832081,0.16225096583366394,0.1336476057767868,0.6746551990509033,0.010731766000390053
solarflare_tcn_oversampled_classweight_ws2.h5,7-8,X,1.38773415869764e-07,8.162601261574309e-07,2.258886888739653e-05,2.5118724806816317e-05,0.9999513626098633
solarflare_tcn_oversampled_classweight_ws2.h5,8-9,B,0.005113090854138136,0.514502227306366,0.18496787548065186,0.12897959351539612,0.1664373278617859
solarflare_tcn_oversampled_classweight_ws2.h5,9-10,B,0.0061058057472109795,0.6704585552215576,0.15633314847946167,0.12477508187294006,0.042327411472797394
solarflare_tcn_oversampled_classweight_ws2.h5,10-11,B,0.004182287026196718,0.546012282371521,0.15307378768920898,0.09720081835985184,0.19953083992004395
solarflare_tcn_oversampled_classweight_ws2.h5,11-12,B,0.0019820164889097214,0.6455979943275452,0.16685768961906433,0.16538718342781067,0.020175177603960037
solarflare_tcn_oversampled_classweight_ws2.h5,12-13,B,0.0015303372638300061,0.6843879818916321,0.15829479694366455,0.11655519157648087,0.03923175111413002
solarflare_tcn_oversampled_classweight_ws2.h5,13-14,B,0.0020186949986964464,0.7005695700645447,0.15220564603805542,0.09400511533021927,0.05120093747973442
solarflare_tcn_oversampled_classweight_ws2.h5,14-15,B,0.0017967474414035678,0.6467603445053101,0.16898062825202942,0.14216601848602295,0.040296219289302826
solarflare_tcn_oversampled_classweight_ws2.h5,15-16,B,0.0012326112482696772,0.47087615728378296,0.20409700274467468,0.19665662944316864,0.12713761627674103
solarflare_tcn_oversampled_classweight_ws2.h5,16-17,X,0.0013731429353356361,0.2166580706834793,0.15617874264717102,0.11367150396108627,0.5121185779571533
solarflare_tcn_oversampled_classweight_ws2.h5,17-18,X,0.0019896135199815035,0.32101762294769287,0.1902318000793457,0.1581740826368332,0.3285869359970093
solarflare_tcn_oversampled_classweight_ws2.h5,18-19,X,0.002789882943034172,0.1395014077425003,0.09760184586048126,0.05131638050079346,0.7087905406951904
solarflare_tcn_oversampled_classweight_ws2.h5,19-20,B,0.006435981951653957,0.5812978148460388,0.17870886623859406,0.10852641612291336,0.1250307857990265
solarflare_tcn_oversampled_classweight_ws2.h5,20-21,B,0.0034855615813285112,0.47212502360343933,0.18667994439601898,0.12961578369140625,0.20809364318847656
solarflare_tcn_oversampled_classweight_ws2.h5,21-22,X,0.002352701732888818,0.28961625695228577,0.20377953350543976,0.19019891321659088,0.31405261158943176
solarflare_tcn_oversampled_classweight_ws2.h5,22-23,B,0.0042111934162676334,0.3391481339931488,0.21248546242713928,0.19361773133277893,0.2505374550819397
solarflare_tcn_oversampled_classweight_ws4.h5,0-3,No Flare,0.5810239315032959,0.3384144902229309,0.017841242253780365,0.04691597446799278,0.015804294496774673
solarflare_tcn_oversampled_classweight_ws4.h5,1-4,B,0.41999298334121704,0.48887568712234497,0.029808655381202698,0.015528012067079544,0.045794740319252014
solarflare_tcn_oversampled_classweight_ws4.h5,2-5,No Flare,0.6118448972702026,0.3664097487926483,0.01851736567914486,0.00138564920052886,0.0018423347501084208
solarflare_tcn_oversampled_classweight_ws4.h5,3-6,B,0.4645842909812927,0.5080796480178833,0.02653762325644493,0.00018348249432165176,0.0006149077089503407
solarflare_tcn_oversampled_classweight_ws4.h5,4-7,No Flare,0.9901753067970276,0.0002182420575991273,7.752626515866723e-06,2.3864451577537693e-05,0.009574765339493752
solarflare_tcn_oversampled_classweight_ws4.h5,5-8,M,0.12044848501682281,0.03944665566086769,0.022757120430469513,0.8132778406143188,0.00406990572810173
solarflare_tcn_oversampled_classweight_ws4.h5,6-9,No Flare,0.970291793346405,0.027895115315914154,0.00026926546706818044,0.0014740220503881574,6.979956378927454e-05
solarflare_tcn_oversampled_classweight_ws4.h5,7-10,No Flare,0.5767644643783569,0.33790114521980286,0.019903911277651787,0.06406138092279434,0.0013690919149667025
solarflare_tcn_oversampled_classweight_ws4.h5,8-11,No Flare,0.6503856778144836,0.3417148292064667,0.006634638644754887,0.0005333072622306645,0.0007315547554753721
solarflare_tcn_oversampled_classweight_ws4.h5,9-12,B,0.4815899133682251,0.5011674761772156,0.015405736863613129,0.0012453712988644838,0.000591516902204603
solarflare_tcn_oversampled_classweight_ws4.h5,10-13,No Flare,0.8215237855911255,0.1736990362405777,0.00454559875652194,0.00015561201144009829,7.603505946462974e-05
solarflare_tcn_oversampled_classweight_ws4.h5,11-14,No Flare,0.8292072415351868,0.16672100126743317,0.004048160742968321,1.3540424333768897e-05,1.0032923455582932e-05
solarflare_tcn_oversampled_classweight_ws4.h5,12-15,No Flare,0.8814160227775574,0.11619246006011963,0.0023831287398934364,5.976983175060013e-06,2.4295788989547873e-06
solarflare_tcn_oversampled_classweight_ws4.h5,13-16,No Flare,0.802187979221344,0.19094572961330414,0.006805990356951952,4.332306343712844e-05,1.701994005998131e-05
solarflare_tcn_oversampled_classweight_ws4.h5,14-17,No Flare,0.8923930525779724,0.10490820556879044,0.0026195666287094355,4.2844400013564155e-05,3.642362207756378e-05
solarflare_tcn_oversampled_classweight_ws4.h5,15-18,No Flare,0.7728008031845093,0.22230590879917145,0.004457551520317793,0.00018280638323631138,0.0002529825724195689
solarflare_tcn_oversampled_classweight_ws4.h5,16-19,No Flare,0.7850052118301392,0.20877358317375183,0.0059907687827944756,0.00010538594506215304,0.0001250239001819864
solarflare_tcn_oversampled_classweight_ws4.h5,17-20,No Flare,0.5944185256958008,0.3882617950439453,0.016664894297719002,0.00027234843582846224,0.00038240879075601697
solarflare_tcn_oversampled_classweight_ws4.h5,18-21,No Flare,0.6693586707115173,0.31612226366996765,0.01402077917009592,0.000211696868063882,0.00028663079137913883
solarflare_tcn_oversampled_classweight_ws4.h5,19-22,No Flare,0.6276663541793823,0.3461226522922516,0.0238218791782856,0.0009976441506296396,0.0013914246810600162
solarflare_tcn_oversampled_classweight_ws4.h5,20-23,No Flare,0.6866180300712585,0.28512099385261536,0.015838921070098877,0.006792654749006033,0.005629485938698053
