hour_start,hour_end,predicted_label,prob_No Flare,prob_B,prob_C,prob_M,prob_X
0,1,C,3.7546286080214486e-07,0.0022859906312078238,0.6227303147315979,0.3659690022468567,0.009014294482767582
1,2,M,1.3393592901422835e-08,0.0014669100055471063,0.3811870515346527,0.6169247031211853,0.000421364966314286
2,3,C,4.1927691540877277e-07,0.0028993417508900166,0.6908273696899414,0.2439589649438858,0.062314003705978394
3,4,C,5.47958097740775e-06,0.008228003047406673,0.7541114687919617,0.05704061686992645,0.1806144416332245
4,5,C,7.183784589415154e-08,0.004294754937291145,0.5800662636756897,0.41522592306137085,0.0004130504676140845
5,6,M,4.395711883375952e-08,0.0027187555097043514,0.4349343180656433,0.5605068206787109,0.0018400108674541116
6,7,C,0.04125923663377762,0.0011510996846482158,0.955406129360199,0.0021647391840815544,1.8760707462206483e-05
7,8,X,0.0007615035865455866,0.01833355985581875,0.04668816551566124,6.082730408252246e-08,0.9342166781425476
8,9,C,0.00012263386452104896,0.036002978682518005,0.7988436222076416,0.16293743252754211,0.002093359362334013
9,10,M,2.4430178200418595e-06,0.033841025084257126,0.4597143232822418,0.5062763094902039,0.00016585347475484014
10,11,C,0.00011840983643196523,0.03635929897427559,0.7844496965408325,0.16348552703857422,0.015587040223181248
11,12,C,6.298456582953804e-07,0.025964386761188507,0.5588256120681763,0.4151853322982788,2.4072269297903404e-05
12,13,C,1.531515590613708e-05,0.0533173643052578,0.6693437695503235,0.2772119343280792,0.00011163598537677899
13,14,C,7.647590223314182e-07,0.05346593260765076,0.4960845410823822,0.45044025778770447,8.475405593344476e-06
14,15,M,5.229402404438588e-07,0.010044274851679802,0.4622747004032135,0.5275784134864807,0.0001020772906485945
15,16,M,6.235828298173374e-09,0.003886559046804905,0.3248305320739746,0.6712756752967834,7.203394488897175e-06
16,17,C,4.368661029729992e-05,0.036307841539382935,0.6752147078514099,0.2826073169708252,0.005826551467180252
17,18,C,7.806013854860794e-06,0.026850271970033646,0.5453264117240906,0.4270080327987671,0.0008074968936853111
18,19,C,0.001223679748363793,0.08184261620044708,0.7989971041679382,0.0593850277364254,0.05855150893330574
19,20,C,2.2715996237820946e-05,0.07248804718255997,0.6106489896774292,0.3124026358127594,0.004437613766640425
20,21,M,1.9295865172352933e-07,0.007111847400665283,0.4223841428756714,0.5701664090156555,0.000337490375386551
21,22,M,7.482007049475214e-07,0.012774402275681496,0.4833102226257324,0.5026781558990479,0.001236415933817625
22,23,C,1.539043296361342e-06,0.012805460020899773,0.6391974091529846,0.3463856279850006,0.0016100313514471054
